Customer,date,Consumption Category,Time,value
1,2010-11-09,GC,0:30,0.144
1,2011-04-26,GC,0:30,0.29
1,2011-02-20,GC,0:30,0.166
1,2011-02-01,GC,0:30,0.191
1,2011-03-10,GC,0:30,0.161
1,2011-03-13,GC,0:30,0.172
1,2011-02-16,GC,0:30,0.089
1,2011-01-30,GC,0:30,0.817
1,2011-02-17,GC,0:30,0.146
1,2011-03-03,GC,0:30,0.044
1,2011-03-02,GC,0:30,0.198
1,2011-03-01,GC,0:30,0.043
1,2011-02-28,GC,0:30,0.168
1,2011-03-06,GC,0:30,0.133
1,2011-02-27,GC,0:30,0.127
1,2011-03-07,GC,0:30,0.041
1,2011-02-26,GC,0:30,0.295
1,2011-02-25,GC,0:30,0.087
1,2011-03-08,GC,0:30,0.195
1,2011-02-24,GC,0:30,0.157
1,2011-02-23,GC,0:30,0.048
1,2011-03-09,GC,0:30,0.067
1,2011-02-22,GC,0:30,0.137
1,2011-02-21,GC,0:30,0.191
1,2011-03-20,GC,0:30,0.228
1,2010-11-23,GC,0:30,0.176
1,2010-07-25,GC,0:30,0.695
1,2010-11-06,GC,0:30,0.667
1,2010-10-13,GC,0:30,0.709
1,2010-10-12,GC,0:30,1.24
1,2010-10-11,GC,0:30,0.588
1,2010-09-21,GC,0:30,0.775
1,2010-09-18,GC,0:30,1.336
1,2011-05-28,GC,0:30,1.485
1,2010-08-23,GC,0:30,1.884
1,2011-06-05,GC,0:30,0.473
1,2010-09-05,GC,0:30,0.754
1,2011-06-04,GC,0:30,0.479
1,2010-09-06,GC,0:30,1.341
1,2010-09-07,GC,0:30,0.773
1,2011-04-22,GC,0:30,0.217
1,2010-11-29,GC,0:30,0.103
1,2010-11-28,GC,0:30,0.126
1,2010-12-07,GC,0:30,0.031
1,2011-04-18,GC,0:30,0.073
1,2010-12-08,GC,0:30,0.038
1,2010-12-26,GC,0:30,0.077
1,2011-04-05,GC,0:30,0.179
1,2011-04-09,GC,0:30,0.207
1,2011-06-03,GC,0:30,0.427
1,2010-09-08,GC,0:30,0.817
1,2010-07-05,GC,0:30,0.295
1,2010-07-07,GC,0:30,0.11
1,2010-07-14,GC,0:30,0.099
1,2010-07-13,GC,0:30,1.433
1,2010-07-03,GC,0:30,0.73
1,2010-07-09,GC,0:30,0.131
1,2010-07-06,GC,0:30,0.107
1,2010-07-04,GC,0:30,0.155
1,2010-07-08,GC,0:30,0.345
1,2010-07-02,GC,0:30,0.116
1,2010-07-10,GC,0:30,0.92
1,2010-07-11,GC,0:30,0.945
1,2010-07-12,GC,0:30,0.117
1,2010-07-15,GC,0:30,0.135
1,2010-07-01,GC,0:30,0.303
1,2011-01-06,GC,0:30,0.126
1,2010-12-03,GC,0:30,0.115
1,2010-12-09,GC,0:30,0.26
1,2011-04-17,GC,0:30,0.65
1,2010-09-09,GC,0:30,1.414
1,2010-11-30,GC,0:30,0.087
1,2010-09-02,GC,0:30,0.714
1,2011-05-04,GC,0:30,0.083
1,2010-11-04,GC,0:30,0.094
1,2010-11-03,GC,0:30,0.11
1,2011-05-05,GC,0:30,0.058
1,2010-11-02,GC,0:30,0.407
1,2011-05-06,GC,0:30,0.616
1,2010-11-01,GC,0:30,0.143
1,2010-10-31,GC,0:30,0.043
1,2011-05-07,GC,0:30,0.185
1,2010-10-30,GC,0:30,0.929
1,2011-05-08,GC,0:30,0.078
1,2010-10-29,GC,0:30,0.157
1,2010-10-28,GC,0:30,0.202
1,2011-05-09,GC,0:30,0.084
1,2010-10-27,GC,0:30,0.328
1,2010-10-26,GC,0:30,0.1
1,2011-05-10,GC,0:30,0.122
1,2010-10-25,GC,0:30,0.176
1,2011-05-11,GC,0:30,0.753
1,2010-10-24,GC,0:30,0.08
1,2010-11-05,GC,0:30,0.717
1,2010-11-07,GC,0:30,0.838
1,2010-12-24,GC,0:30,0.176
1,2011-04-25,GC,0:30,0.261
1,2010-12-23,GC,0:30,0.116
1,2011-04-10,GC,0:30,0.18
